id_client,segment,commune,code_postal,date_entree,nb_personnes_foyer,surface_m2
CLI-00001,particulier,Coteaux-Ouest,69340,2015-02-02,2,60
CLI-00002,particulier,Plateau-Est,69310,2012-10-21,1,28
CLI-00003,particulier,Plateau-Est,69310,2019-06-15,3,76
CLI-00004,petit_pro,Parc-Tertiaire,69150,2012-07-15,,675
CLI-00005,particulier,Rives-Sud,69230,2024-06-21,4,95
CLI-00006,petit_pro,Parc-Tertiaire,69150,2012-11-13,,638
CLI-00007,petit_pro,Bourg-Ancien,69270,2016-08-25,,200
CLI-00008,particulier,Coteaux-Ouest,69340,2013-08-06,5,55
CLI-00009,particulier,Plateau-Est,69310,2014-09-12,3,131
CLI-00010,petit_pro,Zone-Industrielle,69120,2020-09-26,,754
CLI-00011,particulier,Val-Nord,69210,2024-11-11,1,102
CLI-00012,particulier,Rives-Sud,69230,2017-07-07,2,48
CLI-00013,particulier,Plateau-Est,69310,2022-08-08,3,45
CLI-00014,collectivite,Zone-Industrielle,69120,2022-12-08,,1615
CLI-00015,particulier,Plateau-Est,69310,2009-03-17,1,81
CLI-00016,petit_pro,Rives-Sud,69230,2019-08-06,,876
CLI-00017,petit_pro,Centre-Ville,69001,2010-05-22,,301
CLI-00018,particulier,Coteaux-Ouest,69340,2024-09-17,2,55
CLI-00019,particulier,Centre-Ville,69001,2019-04-15,2,82
CLI-00020,particulier,Plateau-Est,69310,2009-07-04,1,151
CLI-00021,petit_pro,Parc-Tertiaire,69150,2010-03-26,,133
CLI-00022,particulier,Rives-Sud,69230,2013-04-07,3,32
CLI-00023,particulier,Val-Nord,69210,2011-02-27,4,120
CLI-00024,petit_pro,Coteaux-Ouest,69340,2013-02-21,,628
CLI-00025,particulier,Val-Nord,69210,2011-06-09,1,140
CLI-00026,entreprise,Parc-Tertiaire,69150,2023-04-13,,1202
CLI-00027,particulier,Val-Nord,69210,2017-04-07,3,160
CLI-00028,particulier,Val-Nord,69210,2013-05-02,5,81
CLI-00029,entreprise,Zone-Industrielle,69120,2022-08-22,,1591
CLI-00030,particulier,Coteaux-Ouest,69340,2023-12-10,1,55
CLI-00031,entreprise,Zone-Industrielle,69120,2014-01-02,,4495
CLI-00032,petit_pro,Val-Nord,69210,2022-09-05,,115
CLI-00033,entreprise,Parc-Tertiaire,69150,2019-01-23,,251
CLI-00034,particulier,Centre-Ville,69001,2021-04-28,1,44
CLI-00035,particulier,Plateau-Est,69310,2023-03-23,5,62
CLI-00036,particulier,Plateau-Est,69310,2010-06-25,2,111
CLI-00037,entreprise,Rives-Sud,69230,2023-01-19,,319
CLI-00038,petit_pro,Centre-Ville,69001,2015-01-03,,458
CLI-00039,particulier,Coteaux-Ouest,69340,2019-12-24,3,44
CLI-00040,particulier,Coteaux-Ouest,69340,2024-10-22,2,153
CLI-00041,entreprise,Parc-Tertiaire,69150,2015-07-14,,2148
CLI-00042,petit_pro,Parc-Tertiaire,69150,2010-04-07,,619
CLI-00043,particulier,Rives-Sud,69230,2022-06-22,3,119
CLI-00044,entreprise,Parc-Tertiaire,69150,2010-08-01,,372
CLI-00045,particulier,Val-Nord,69210,2012-04-24,3,63
CLI-00046,petit_pro,Parc-Tertiaire,69150,2009-02-28,,305
CLI-00047,particulier,Rives-Sud,69230,2016-09-11,5,39
CLI-00048,petit_pro,Centre-Ville,69001,2021-01-26,,710
CLI-00049,particulier,Bourg-Ancien,69270,2024-01-04,5,33
CLI-00050,particulier,Plateau-Est,69310,2023-03-10,2,73
CLI-00051,particulier,Parc-Tertiaire,69150,2021-06-21,3,42
CLI-00052,particulier,Bourg-Ancien,69270,2013-10-24,2,91
CLI-00053,particulier,Bourg-Ancien,69270,2013-07-25,5,53
CLI-00054,petit_pro,Parc-Tertiaire,69150,2022-01-14,,728
CLI-00055,particulier,Rives-Sud,69230,2018-02-16,1,142
CLI-00056,particulier,Coteaux-Ouest,69340,2018-07-21,3,142
CLI-00057,particulier,Centre-Ville,69001,2009-07-23,3,145
CLI-00058,particulier,Rives-Sud,69230,2009-04-14,4,111
CLI-00059,collectivite,Zone-Industrielle,69120,2022-12-20,,654
CLI-00060,petit_pro,Parc-Tertiaire,69150,2010-01-26,,875
CLI-00061,particulier,Rives-Sud,69230,2014-11-15,1,112
CLI-00062,petit_pro,Rives-Sud,69230,2009-12-03,,531
CLI-00063,petit_pro,Zone-Industrielle,69120,2019-11-04,,324
CLI-00064,petit_pro,Parc-Tertiaire,69150,2021-01-21,,133
CLI-00065,petit_pro,Parc-Tertiaire,69150,2013-05-17,,334
CLI-00066,entreprise,Parc-Tertiaire,69150,2018-11-07,,496
CLI-00067,entreprise,Parc-Tertiaire,69150,2010-04-18,,113
CLI-00068,particulier,Rives-Sud,69230,2020-07-01,4,105
CLI-00069,entreprise,Centre-Ville,69001,2012-06-12,,2462
CLI-00070,entreprise,Centre-Ville,69001,2014-09-26,,3082
CLI-00071,collectivite,Zone-Industrielle,69120,2019-05-12,,3471
CLI-00072,petit_pro,Zone-Industrielle,69120,2009-09-28,,237
CLI-00073,petit_pro,Parc-Tertiaire,69150,2015-02-28,,539
CLI-00074,entreprise,Parc-Tertiaire,69150,2019-06-25,,286
CLI-00075,particulier,Bourg-Ancien,69270,2023-07-07,1,132
CLI-00076,particulier,Centre-Ville,69001,2010-09-25,1,135
CLI-00077,particulier,Centre-Ville,69001,2024-01-20,5,135
CLI-00078,particulier,Val-Nord,69210,2014-12-04,5,80
CLI-00079,particulier,Bourg-Ancien,69270,2012-05-08,2,86
CLI-00080,particulier,Centre-Ville,69001,2024-06-24,2,108
CLI-00081,particulier,Plateau-Est,69310,2014-04-05,5,38
CLI-00082,particulier,Parc-Tertiaire,69150,2017-03-04,4,98
CLI-00083,particulier,Coteaux-Ouest,69340,2015-09-07,4,59
CLI-00084,particulier,Val-Nord,69210,2022-07-25,5,95
CLI-00085,particulier,Coteaux-Ouest,69340,2018-03-15,3,116
CLI-00086,entreprise,Parc-Tertiaire,69150,2024-05-18,,1087
CLI-00087,particulier,Parc-Tertiaire,69150,2017-10-26,2,117
CLI-00088,particulier,Val-Nord,69210,2018-06-04,5,121
CLI-00089,entreprise,Bourg-Ancien,69270,2009-01-27,,748
CLI-00090,entreprise,Bourg-Ancien,69270,2018-11-18,,1583
CLI-00091,particulier,Val-Nord,69210,2009-02-25,1,116
CLI-00092,particulier,Rives-Sud,69230,2016-09-28,1,128
CLI-00093,petit_pro,Parc-Tertiaire,69150,2017-08-17,,689
CLI-00094,petit_pro,Zone-Industrielle,69120,2012-04-13,,221
CLI-00095,petit_pro,Rives-Sud,69230,2014-02-28,,498
CLI-00096,particulier,Val-Nord,69210,2021-03-15,3,77
CLI-00097,petit_pro,Val-Nord,69210,2010-03-02,,525
CLI-00098,collectivite,Zone-Industrielle,69120,2014-12-15,,2506
CLI-00099,particulier,Rives-Sud,69230,2013-10-21,3,66
CLI-00100,entreprise,Parc-Tertiaire,69150,2011-05-05,,152
CLI-00101,particulier,Val-Nord,69210,2021-06-03,4,91
CLI-00102,particulier,Rives-Sud,69230,2013-10-19,4,127
CLI-00103,collectivite,Zone-Industrielle,69120,2017-03-22,,4872
CLI-00104,particulier,Plateau-Est,69310,2018-09-07,4,81
CLI-00105,particulier,Coteaux-Ouest,69340,2014-02-15,3,146
CLI-00106,particulier,Plateau-Est,69310,2010-05-27,2,41
CLI-00107,petit_pro,Val-Nord,69210,2010-12-21,,745
CLI-00108,particulier,Plateau-Est,69310,2009-12-19,5,68
CLI-00109,particulier,Centre-Ville,69001,2020-10-10,3,127
CLI-00110,particulier,Rives-Sud,69230,2020-07-18,2,29
CLI-00111,petit_pro,Zone-Industrielle,69120,2015-01-18,,238
CLI-00112,particulier,Val-Nord,69210,2024-10-13,1,56
CLI-00113,particulier,Plateau-Est,69310,2017-07-05,3,98
CLI-00114,particulier,Bourg-Ancien,69270,2017-05-05,4,52
CLI-00115,particulier,Rives-Sud,69230,2013-04-06,5,76
CLI-00116,petit_pro,Parc-Tertiaire,69150,2020-05-17,,532
CLI-00117,particulier,Rives-Sud,69230,2023-08-02,1,80
CLI-00118,particulier,Coteaux-Ouest,69340,2011-07-24,1,126
CLI-00119,entreprise,Parc-Tertiaire,69150,2023-09-17,,284
CLI-00120,particulier,Parc-Tertiaire,69150,2011-01-19,4,52
CLI-00121,particulier,Bourg-Ancien,69270,2021-09-14,5,46
CLI-00122,particulier,Bourg-Ancien,69270,2017-03-06,3,60
CLI-00123,entreprise,Parc-Tertiaire,69150,2012-01-14,,869
CLI-00124,particulier,Coteaux-Ouest,69340,2009-07-07,3,30
CLI-00125,particulier,Rives-Sud,69230,2015-07-21,1,74
CLI-00126,entreprise,Zone-Industrielle,69120,2017-09-20,,1580
CLI-00127,particulier,Coteaux-Ouest,69340,2021-11-09,3,108
CLI-00128,particulier,Bourg-Ancien,69270,2019-08-14,4,103
CLI-00129,entreprise,Zone-Industrielle,69120,2013-06-17,,3958
CLI-00130,entreprise,Coteaux-Ouest,69340,2011-04-09,,791
CLI-00131,particulier,Val-Nord,69210,2023-10-06,2,90
CLI-00132,particulier,Rives-Sud,69230,2019-12-18,3,155
CLI-00133,particulier,Bourg-Ancien,69270,2013-11-19,2,88
CLI-00134,particulier,Bourg-Ancien,69270,2019-10-22,2,74
CLI-00135,petit_pro,Centre-Ville,69001,2009-05-21,,629
CLI-00136,particulier,Val-Nord,69210,2018-04-28,4,57
CLI-00137,particulier,Coteaux-Ouest,69340,2010-11-28,5,86
CLI-00138,particulier,Centre-Ville,69001,2014-11-21,3,33
CLI-00139,particulier,Centre-Ville,69001,2020-10-22,3,131
CLI-00140,petit_pro,Centre-Ville,69001,2016-06-11,,836
CLI-00141,entreprise,Zone-Industrielle,69120,2019-08-21,,3673
CLI-00142,petit_pro,Parc-Tertiaire,69150,2011-10-18,,501
CLI-00143,petit_pro,Parc-Tertiaire,69150,2021-12-14,,689
CLI-00144,particulier,Coteaux-Ouest,69340,2012-01-10,4,54
CLI-00145,particulier,Val-Nord,69210,2020-04-09,4,138
CLI-00146,petit_pro,Rives-Sud,69230,2021-08-06,,303
CLI-00147,particulier,Coteaux-Ouest,69340,2011-01-23,1,82
CLI-00148,particulier,Centre-Ville,69001,2016-03-25,5,33
CLI-00149,particulier,Parc-Tertiaire,69150,2012-03-10,3,153
CLI-00150,entreprise,Bourg-Ancien,69270,2021-08-15,,1100
CLI-00151,particulier,Coteaux-Ouest,69340,2020-03-27,2,127
CLI-00152,entreprise,Bourg-Ancien,69270,2023-12-02,,630
CLI-00153,particulier,Plateau-Est,69310,2019-07-21,3,157
CLI-00154,particulier,Plateau-Est,69310,2011-07-22,5,151
CLI-00155,particulier,Rives-Sud,69230,2024-02-08,5,117
CLI-00156,particulier,Val-Nord,69210,2011-05-14,3,98
CLI-00157,particulier,Plateau-Est,69310,2013-09-13,5,35
CLI-00158,particulier,Plateau-Est,69310,2015-08-24,1,115
CLI-00159,particulier,Plateau-Est,69310,2016-11-18,4,78
CLI-00160,particulier,Val-Nord,69210,2016-04-17,5,154
CLI-00161,particulier,Val-Nord,69210,2012-11-19,4,151
